City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okhotsk,59.3833,143.3,-19.81,76,4,5.24,RU,1736435369
1,ciudad lazaro cardenas,17.9583,-102.2,24.9,66,100,1.5,MX,1736435115
2,albany,42.6001,-73.9662,-6.97,67,67,4.47,US,1736435359
3,stanley,54.868,-1.6985,0.29,77,20,5.66,GB,1736435372
4,alofi,-19.0595,-169.9187,23.94,94,75,1.54,NU,1736435373
5,vilyuchinsk,52.9306,158.4028,-14.81,77,8,4.44,RU,1736435375
6,yaring,6.8662,101.3689,24.93,81,6,3.17,TH,1736435376
7,edinburgh of the seven seas,-37.0676,-12.3116,17.67,92,100,5.93,SH,1736435377
8,pyhajarvi,67.0701,27.2176,-20.64,99,99,0.97,FI,1736435378
9,jiangyou,31.7667,104.7167,8.04,73,100,1.51,CN,1736435379
10,georgetown,5.4112,100.3354,29.97,59,20,3.6,MY,1736435380
11,alegrete,-29.7831,-55.7919,31.96,30,29,4.16,BR,1736435203
12,carmelo,-33.9892,-58.2856,32.02,21,0,1.58,UY,1736435210
13,diamantina,-18.2494,-43.6003,18.46,88,100,2.82,BR,1736435383
14,adamstown,-25.066,-130.1015,24.39,80,100,10.3,PN,1736435384
15,hammerfest,70.6634,23.6821,-8.75,57,0,2.57,NO,1736435386
16,canyon,34.9803,-101.9188,-1.96,88,100,0.89,US,1736435388
17,sitka,57.0531,-135.33,5.44,95,100,4.27,US,1736435389
18,whitehorse,60.7161,-135.0538,-0.94,92,100,11.18,CA,1736435390
19,kodiak,57.79,-152.4072,2.73,93,100,4.63,US,1736435303
20,chapaev,50.2,51.1667,-0.21,72,19,9.2,KZ,1736435392
21,nuuk,64.1835,-51.7216,-4.66,74,40,9.77,GL,1736435240
22,bethel,41.3712,-73.414,-2.14,57,63,4.92,US,1736435394
23,zhelezinka,53.54,75.3072,-5.58,95,100,5.58,KZ,1736435395
24,hengchun,22.0042,120.7439,18.14,72,95,12.41,TW,1736435396
25,onega,63.9061,38.1404,-9.79,91,100,7.14,RU,1736435397
26,avarua,-21.2078,-159.775,26.03,89,100,11.83,CK,1736435399
27,constantia,44.1833,28.65,13.38,86,0,3.25,RO,1736435400
28,wanxian,30.8039,108.3897,8.71,79,94,0.36,CN,1736435402
29,dergachi,51.2328,48.7659,2.59,96,100,7.08,RU,1736435403
30,grytviken,-54.2811,-36.5092,6.91,55,99,4.93,GS,1736435404
31,katsuura,35.1333,140.3,5.39,62,17,10.78,JP,1736435405
32,san julian,21.0167,-102.1667,12.52,69,100,2.32,MX,1736435406
33,waitangi,-43.9535,-176.5597,10.46,87,74,1.79,NZ,1736435407
34,longyearbyen,78.2186,15.6401,-2.09,74,100,3.6,SJ,1736435409
35,lazaro cardenas,17.9583,-102.2,24.9,66,100,1.5,MX,1736435332
36,hermanus,-34.4187,19.2345,25.45,63,0,9.7,ZA,1736435411
37,port-aux-francais,-49.35,70.2167,5.0,95,93,22.35,TF,1736435412
38,lihue,21.9789,-159.3672,20.77,94,100,3.09,US,1736435413
39,ushuaia,-54.8,-68.3,9.92,55,78,3.25,AR,1736435240
40,karimganj,24.8667,92.35,15.97,55,0,1.47,IN,1736435415
41,papatowai,-46.5619,169.4708,10.86,83,100,1.76,NZ,1736435416
42,antofagasta,-23.65,-70.4,21.6,70,2,4.26,CL,1736435226
43,anadyr,64.75,177.4833,-29.72,67,0,5.0,RU,1736435419
44,maxixe,-23.8597,35.3472,30.06,64,78,5.43,MZ,1736435421
45,tiksi,71.6872,128.8694,-25.1,96,18,6.4,RU,1736435422
46,blackmans bay,-43.0167,147.3167,14.74,88,17,0.45,AU,1736435423
47,aykhal,66.0,111.5,-21.49,100,100,1.64,RU,1736435424
48,levuka,50.1834,-105.4011,-5.36,85,6,6.49,CA,1736435425
49,chonchi,-42.6128,-73.8092,16.97,36,100,1.74,CL,1736435427
50,hamilton,39.1834,-84.5333,-8.53,86,8,1.34,US,1736434798
51,andergrove,-21.0833,149.1833,24.87,78,0,2.57,AU,1736435429
52,calbuco,-41.768,-73.1273,13.64,60,100,7.04,CL,1736435430
53,isafjordur,66.0755,-23.124,1.02,64,100,6.69,IS,1736435431
54,homer,59.6425,-151.5483,1.94,86,100,11.18,US,1736435433
55,puerto leguizamo,-0.1934,-74.7819,30.6,55,67,1.39,CO,1736435434
56,puerto san jose,13.9256,-90.8244,26.67,63,94,0.96,GT,1736435435
57,port macquarie,-31.4333,152.9167,20.6,99,15,0.45,AU,1736435436
58,novyy urgal,51.0736,132.5642,-28.61,100,31,0.76,RU,1736435437
59,salalah,17.0151,54.0924,24.05,60,0,1.03,OM,1736435438
60,pedernales,18.0384,-71.744,26.74,71,5,2.97,DO,1736435439
61,port alfred,-33.5906,26.891,27.88,74,0,0.89,ZA,1736435440
62,cockburn town,21.4612,-71.1419,24.24,67,71,4.42,TC,1736435441
63,cabo san lucas,22.8909,-109.9124,17.64,49,20,7.2,MX,1736435442
64,leirvik,59.7798,5.5005,1.23,69,75,1.54,NO,1736435443
65,guerrero negro,27.9769,-114.0611,12.42,64,0,2.62,MX,1736435445
66,bredasdorp,-34.5322,20.0403,26.35,42,0,11.42,ZA,1736435446
67,at taj,24.2049,23.2857,18.22,32,0,7.5,LY,1736435447
68,smidovich,48.6,133.8167,-18.78,95,49,2.01,RU,1736435448
69,salaverry,-8.2333,-78.9667,17.21,87,100,3.0,PE,1736435449
70,olonkinbyen,70.9221,-8.7187,-2.99,91,100,11.41,SJ,1736435450
71,invercargill,-46.4,168.35,12.79,89,100,0.45,NZ,1736435451
72,ilulissat,69.2167,-51.1,-21.11,94,76,5.09,GL,1736435452
73,naze,28.3667,129.4833,11.29,66,96,8.93,JP,1736435453
74,semey,50.4111,80.2275,-6.88,73,100,6.0,KZ,1736435454
75,mili,6.0815,171.735,27.65,74,50,9.84,MH,1736435455
76,carnarvon,-24.8667,113.6333,25.08,69,10,10.8,AU,1736435225
77,nova sintra,14.8667,-24.7167,24.48,71,0,2.05,CV,1736435457
78,hobyo,5.3505,48.5268,25.0,70,71,8.54,SO,1736435459
79,una,20.8167,71.0333,20.41,64,1,1.23,IN,1736435460
80,port saint john's,-31.6229,29.5448,27.06,73,2,7.78,ZA,1736435462
81,arraial do cabo,-22.9661,-42.0278,25.92,83,75,5.14,BR,1736435365
82,mejit,10.2753,170.8646,26.84,79,14,11.01,MH,1736435464
83,dengzhou,37.8086,120.7508,-1.98,46,100,7.06,CN,1736435465
84,sumbawa besar,-8.5,117.4333,24.92,98,100,0.85,ID,1736435466
85,pitimbu,-7.4706,-34.8086,29.23,64,99,4.92,BR,1736435467
86,palikir - national government center,6.9248,158.1611,27.41,78,40,2.57,FM,1736435468
87,tazovsky,67.4667,78.7,-26.96,100,78,3.01,RU,1736435399
88,syriam,16.7722,96.2378,24.9,54,4,1.93,MM,1736435471
89,port mathurin,-19.6833,63.4167,26.44,90,57,10.79,MU,1736435472
90,iqaluit,63.7506,-68.5145,-17.95,77,100,2.06,CA,1736435473
91,ribeira grande,38.5167,-28.7,19.32,94,75,13.86,PT,1736435474
92,puerto natales,-51.7236,-72.4875,14.25,41,40,8.23,CL,1736435475
93,inhambane,-23.865,35.3833,29.89,66,77,5.78,MZ,1736435287
94,hawaiian paradise park,19.5933,-154.9731,20.73,98,100,2.57,US,1736435477
95,yigo village,13.5361,144.8886,25.97,97,75,4.63,GU,1736435478
96,malindi,-3.2175,40.1191,27.28,76,100,5.56,KE,1736435230
97,kill devil hills,36.0307,-75.676,0.01,52,0,7.2,US,1736435420
98,port elizabeth,-33.918,25.5701,25.73,58,0,1.34,ZA,1736435407
99,ballina,-28.8667,153.5667,22.06,84,62,3.06,AU,1736435484
100,atafu village,-8.5421,-172.5159,27.99,65,100,8.77,TK,1736435485
101,fortaleza,-3.7227,-38.5247,31.07,66,75,7.72,BR,1736435266
102,ust-tsilma,65.441,52.1498,-0.68,89,100,5.07,RU,1736435487
103,puerto ayora,-0.7393,-90.3518,24.75,94,86,1.34,EC,1736435488
104,vorgashor,67.5833,63.95,-14.41,85,100,7.41,RU,1736435489
105,kolokani,13.5728,-8.0339,33.75,10,46,4.51,ML,1736435491
106,north ward,-19.2454,146.8075,26.95,74,6,3.09,AU,1736435492
107,holualoa,19.6228,-155.9522,19.91,80,4,2.06,US,1736435493
108,nemuro,43.3236,145.575,-4.11,66,11,4.95,JP,1736435494
109,salekhard,66.53,66.6019,-14.83,96,100,4.98,RU,1736435420
